CIDADES;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
ACEGUA;0;0;0;1;1;0;0;0;0;1;1;0
AGUA SANTA;0;1;0;0;0;1;0;0;0;1;0;0
AGUDO;4;5;3;8;3;7;6;5;10;3;0;4
AJURICABA;1;2;2;3;4;3;0;1;0;1;1;1
ALECRIM;4;0;6;3;2;3;0;2;2;0;3;4
ALEGRETE;32;39;39;21;31;22;19;18;18;24;15;21
ALEGRIA;0;0;2;3;0;1;2;3;3;3;1;0
ALMIRANTE TAMANDARE DO SUL;0;0;0;0;0;1;0;0;0;0;1;2
ALPESTRE;4;2;4;2;1;4;3;3;3;2;1;4
ALTO ALEGRE;0;0;0;0;0;1;0;0;0;0;0;0
ALTO FELIZ;0;1;0;0;0;0;0;1;0;0;0;0
ALVORADA;72;63;91;64;70;78;56;77;96;79;62;82
AMARAL FERRADOR;0;3;2;2;0;5;1;1;2;2;1;1
AMETISTA DO SUL;2;2;3;1;2;1;3;4;5;5;3;5
ANDRE DA ROCHA;0;1;0;1;0;0;1;0;0;0;0;0
ANTA GORDA;3;2;0;0;1;0;0;1;0;1;1;2
ANTONIO PRADO;1;3;7;3;3;2;4;4;2;2;3;4
ARAMBARE;0;4;0;2;1;0;0;0;3;0;0;0
ARARICA;4;0;5;0;2;0;1;1;0;1;0;1
ARATIBA;1;1;1;2;0;1;3;1;4;1;2;3
ARROIO DO MEIO;8;3;5;4;5;10;7;6;4;6;9;2
ARROIO DO PADRE;1;2;0;1;0;0;0;0;0;0;0;0
ARROIO DO SAL;5;3;0;4;5;1;3;4;1;2;4;10
ARROIO DO TIGRE;6;4;4;2;7;2;7;6;6;9;7;3
ARROIO DOS RATOS;2;4;2;0;2;0;7;1;1;4;1;2
ARROIO GRANDE;2;2;3;2;3;2;2;5;3;3;1;6
ARVOREZINHA;5;3;1;1;1;4;2;0;1;5;1;11
AUGUSTO PESTANA;2;0;3;1;2;3;3;4;4;0;0;1
AUREA;0;0;2;1;0;2;2;1;1;0;1;0
BAGE;38;35;47;33;40;29;46;40;38;24;36;37
BALNEARIO PINHAL;11;6;6;1;2;2;4;5;2;5;6;5
BARAO;0;1;0;3;1;2;0;1;3;0;2;0
BARAO DE COTEGIPE;2;2;0;3;0;1;1;2;1;1;1;4
BARAO DO TRIUNFO;3;0;1;3;3;0;0;0;0;1;1;0
BARRA DO GUARITA;1;0;3;1;0;2;2;1;0;0;1;2
BARRA DO QUARAI;0;2;2;0;1;0;0;1;1;2;3;1
BARRA DO RIBEIRO;7;0;3;2;3;1;1;6;3;2;1;2
