CIDADES;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
ACEGUA;0;0;0;0;0;0;0;0;0;0;0;0
AGUA SANTA;0;0;0;0;0;0;0;0;0;0;0;0
AGUDO;0;0;0;1;0;0;0;0;2;1;1;1
AJURICABA;0;0;0;0;0;0;0;0;0;0;0;0
ALECRIM;0;0;1;0;1;0;0;0;0;0;0;0
ALEGRETE;0;0;1;0;2;2;1;1;1;0;1;0
ALEGRIA;0;0;0;0;0;0;0;0;0;0;0;0
ALMIRANTE TAMANDARE DO SUL;0;0;0;0;0;0;0;0;0;0;0;0
ALPESTRE;0;0;0;0;0;0;0;0;0;0;0;0
ALTO ALEGRE;0;0;0;0;0;0;0;0;0;0;0;0
ALTO FELIZ;0;0;0;0;0;0;0;0;0;0;0;0
ALVORADA;7;8;4;6;6;4;8;6;5;3;4;7
AMARAL FERRADOR;0;0;0;0;0;0;0;0;0;0;0;0
AMETISTA DO SUL;0;0;0;0;0;0;0;0;0;0;0;0
ANDRE DA ROCHA;0;0;0;0;0;0;0;0;0;0;0;0
ANTA GORDA;0;0;0;0;0;0;0;0;1;0;0;0
ANTONIO PRADO;0;0;0;0;0;0;0;0;0;0;0;0
ARAMBARE;0;1;0;0;0;1;0;0;0;0;0;0
ARARICA;1;0;0;0;0;0;0;0;0;0;0;0
ARATIBA;0;0;0;0;0;0;0;0;0;0;0;0
ARROIO DO MEIO;0;0;0;0;0;0;0;1;0;0;0;0
ARROIO DO PADRE;0;0;0;0;0;0;0;0;0;0;0;0
ARROIO DO SAL;0;0;0;0;0;0;0;0;0;0;0;1
ARROIO DO TIGRE;0;0;0;0;0;0;0;0;0;0;0;0
ARROIO DOS RATOS;0;0;0;0;0;0;0;0;0;0;0;0
ARROIO GRANDE;0;1;0;0;1;0;0;0;0;1;0;0
ARVOREZINHA;1;0;0;0;0;0;0;0;0;0;0;0
AUGUSTO PESTANA;0;0;0;0;0;0;0;0;0;0;0;0
AUREA;0;0;0;0;0;0;0;0;0;0;0;0
BAGE;2;1;1;2;0;4;2;0;2;2;1;0
BALNEARIO PINHAL;0;0;0;0;0;0;0;0;0;0;0;0
BARAO;0;0;0;0;0;0;0;0;0;0;0;0
BARAO DE COTEGIPE;0;0;0;0;0;1;0;0;0;0;0;0
BARAO DO TRIUNFO;0;0;0;1;0;0;0;0;0;0;0;0
BARRA DO GUARITA;0;0;0;0;0;0;0;0;0;0;0;1
BARRA DO QUARAI;0;0;0;0;0;0;0;0;0;0;0;0
BARRA DO RIBEIRO;0;0;0;0;0;0;0;1;0;0;0;0
BARRA DO RIO AZUL;0;0;0;0;0;0;0;0;0;0;0;0
BARRA FUNDA;0;0;0;0;0;0;0;0;0;0;0;0
BARRACAO;0;0;0;0;0;0;0;0;0;0;0;0
BARROS CASSAL;0;0;0;0;0;0;0;1;0;0;0;0
BENJAMIN CONSTANT DO SUL;0;0;0;0;0;0;0;0;0;0;0;0
BENTO GONCALVES;2;0;3;4;0;3;1;1;2;2;0;1
BOA VISTA DAS MISSOES;0;0;0;0;0;0;0;0;0;0;0;0
BOA VISTA DO BURICA;0;0;0;0;0;0;0;0;0;0;0;0
BOA VISTA DO CADEADO;0;0;0;0;0;0;0;1;0;0;0;0
BOA VISTA DO INCRA;0;1;0;0;0;0;0;0;0;0;0;0
BOA VISTA DO SUL;0;0;0;0;0;0;0;0;0;2;0;0
BOM JESUS;0;0;0;0;0;0;0;0;0;0;0;0
BOM PRINCIPIO;0;0;0;0;0;0;1;0;0;0;0;0
BOM PROGRESSO;0;0;0;0;0;0;0;0;0;0;0;0
BOM RETIRO DO SUL;0;1;0;0;0;0;0;0;0;0;0;0
BOQUEIRAO DO LEAO;0;1;2;0;1;0;0;0;0;0;0;0
BOSSOROCA;0;0;0;0;0;1;1;0;1;0;0;0
BOZANO;0;0;0;0;0;0;0;0;0;0;0;0
BRAGA;0;0;0;0;0;0;0;0;0;0;0;0
BROCHIER;0;0;0;0;0;0;0;0;0;0;0;0
BUTIA;0;0;2;0;0;0;0;1;1;0;2;0
CACAPAVA DO SUL;1;0;0;1;0;0;1;2;0;0;0;0
CACEQUI;0;0;1;0;0;0;0;0;0;0;0;0
CACHOEIRA DO SUL;0;0;1;1;1;0;0;0;0;0;0;0
CACHOEIRINHA;2;1;1;1;1;0;0;0;6;3;9;4
CACIQUE DOBLE;0;0;0;0;0;0;0;0;0;0;0;0
CAIBATE;0;0;0;0;0;0;0;0;0;0;0;0
CAICARA;0;0;0;0;0;0;0;0;0;0;0;0
CAMAQUA;0;1;0;0;1;2;0;1;0;0;0;0
CAMARGO;0;0;0;0;0;1;0;0;0;0;0;0
CAMBARA DO SUL;0;0;0;0;0;0;0;0;0;0;0;0
CAMPESTRE DA SERRA;0;0;0;0;0;0;0;0;0;0;0;0
CAMPINA DAS MISSOES;0;0;0;0;0;0;0;0;0;0;0;0
CAMPINAS DO SUL;0;0;0;0;0;0;0;0;0;0;0;0
CAMPO BOM;0;1;1;0;0;2;0;0;1;1;0;1
CAMPO NOVO;0;0;0;0;0;0;0;0;0;0;0;0
CAMPOS BORGES;0;0;0;0;0;0;0;0;0;0;0;0
CANDELARIA;0;1;0;0;0;0;1;0;0;0;0;0
CANDIDO GODOI;0;0;0;0;0;0;0;0;0;0;0;0
CANDIOTA;0;0;0;0;0;0;0;0;0;0;0;0
CANELA;0;1;0;1;0;0;1;0;1;1;0;2
CANGUCU;0;0;0;0;0;0;1;0;0;0;3;1
CANOAS;3;11;7;7;6;11;9;6;5;11;5;4
CANUDOS DO VALE;0;0;0;0;0;0;0;0;0;0;0;0
CAPAO BONITO DO SUL;0;0;0;0;0;0;0;0;0;0;0;0
CAPAO DA CANOA;0;0;1;1;2;0;0;0;1;0;1;1
CAPAO DO CIPO;0;0;0;0;0;0;0;0;0;1;0;0
CAPAO DO LEAO;0;0;1;0;0;0;0;0;0;0;0;0
CAPELA DE SANTANA;0;0;0;0;0;0;0;0;0;0;0;0
CAPITAO;0;0;0;0;0;0;0;0;0;0;0;0
CAPIVARI DO SUL;0;0;0;2;0;1;0;0;0;1;0;0
CARAA;0;0;0;0;0;0;0;0;1;0;0;0
CARAZINHO;1;0;1;1;0;0;0;0;1;3;0;1
CARLOS BARBOSA;0;0;1;0;0;0;0;0;2;1;0;0
CARLOS GOMES;0;0;0;0;0;0;0;0;0;0;0;0
CASCA;0;0;0;0;0;0;0;0;0;0;0;0
CASEIROS;0;0;0;1;0;0;0;0;0;0;0;0
CATUIPE;0;2;0;0;0;0;0;0;0;0;0;0
CAXIAS DO SUL;4;0;2;0;2;5;3;5;5;4;3;4
CENTENARIO;0;0;0;0;0;0;0;0;0;0;0;0
CERRITO;0;0;0;0;0;0;0;0;0;0;0;0
CERRO BRANCO;0;0;0;0;0;0;0;0;0;0;0;0
CERRO GRANDE;0;0;0;0;1;0;0;0;0;0;0;0
CERRO GRANDE DO SUL;0;0;0;0;0;0;0;0;0;0;0;1
CERRO LARGO;0;0;1;0;0;0;0;0;0;0;0;0
CHAPADA;0;0;0;0;0;0;0;0;0;0;0;0
CHARQUEADAS;0;0;0;0;0;0;0;0;0;0;1;0
CHARRUA;0;0;0;0;0;0;0;0;0;0;0;0
CHIAPETTA;0;0;0;0;0;0;0;0;0;0;0;0
CHUI;0;0;0;0;0;0;0;0;0;0;0;0
CHUVISCA;0;0;0;0;0;0;0;0;0;0;0;0
CIDREIRA;1;1;2;0;0;1;0;0;0;0;3;0
CIRIACO;0;0;0;0;0;0;0;0;0;0;0;2
COLINAS;0;0;0;0;0;0;0;0;0;0;0;0
COLORADO;0;0;0;0;0;0;0;0;0;0;0;0
CONDOR;0;0;0;0;0;0;0;1;0;0;0;0
CONSTANTINA;0;0;0;0;0;0;0;1;0;0;0;0
COQUEIRO BAIXO;0;0;0;0;0;0;0;0;0;0;0;0
COQUEIROS DO SUL;0;0;0;0;0;0;0;0;0;0;0;0
CORONEL BARROS;0;0;0;0;0;0;0;0;0;0;0;0
CORONEL BICACO;0;0;0;0;0;0;0;1;0;0;0;0
CORONEL PILAR;0;0;0;1;0;0;0;0;0;0;0;0
COTIPORA;0;0;0;0;0;0;0;0;0;0;0;0
COXILHA;0;1;0;1;0;0;0;0;0;0;0;0
CRISSIUMAL;0;0;0;0;0;0;0;0;0;0;0;0
CRISTAL;0;0;0;0;0;0;0;1;0;0;0;0
CRISTAL DO SUL;1;0;0;0;0;1;0;0;0;0;0;0
CRUZ ALTA;2;1;0;0;3;1;1;0;1;1;2;0
CRUZALTENSE;0;0;0;0;0;0;0;0;0;0;0;0
CRUZEIRO DO SUL;0;0;0;0;0;0;0;0;0;0;0;0
DAVID CANABARRO;0;0;0;0;0;0;0;0;1;0;0;0
DERRUBADAS;0;0;0;0;0;0;0;0;0;0;0;0
DEZESSEIS DE NOVEMBRO;0;0;0;0;0;0;0;0;0;0;0;0
DILERMANDO DE AGUIAR;0;0;0;0;0;0;0;0;0;0;0;0
DOIS IRMAOS;0;0;0;0;0;0;0;0;0;1;1;0
DOIS IRMAOS DAS MISSOES;0;0;0;0;0;0;0;0;0;0;0;0
DOIS LAJEADOS;0;0;0;0;0;0;0;0;0;0;0;0
DOM FELICIANO;2;0;1;1;0;0;0;0;0;1;0;0
DOM PEDRITO;2;0;0;0;1;1;0;0;1;0;0;2
DOM PEDRO DE ALCANTARA;0;0;0;0;0;0;0;0;0;0;0;0
DONA FRANCISCA;0;0;0;0;0;0;0;0;0;0;0;0
DOUTOR RICARDO;0;0;0;0;0;0;0;0;0;0;0;0
DR MAURICIO CARDOSO;0;0;2;0;0;0;1;1;0;0;0;0
ELDORADO DO SUL;0;2;0;0;1;1;1;2;0;0;0;0
ENCANTADO;0;0;0;0;0;0;0;1;0;0;0;2
ENCRUZILHADA DO SUL;0;3;0;0;1;0;1;0;1;1;0;0
ENGENHO VELHO;0;0;0;0;0;0;0;0;0;0;0;0
ENTRE IJUIS;0;0;0;0;0;2;0;0;0;0;0;0
ENTRE RIOS DO SUL;0;0;0;0;0;0;0;0;0;0;0;0
EREBANGO;0;0;0;0;0;0;0;0;0;0;0;0
ERECHIM;1;2;1;3;2;1;2;1;1;0;0;0
ERNESTINA;0;0;0;0;0;0;1;1;0;0;0;0
ERVAL GRANDE;0;0;0;0;0;0;0;0;0;0;0;0
ERVAL SECO;0;0;0;0;0;0;0;0;0;0;3;0
ESMERALDA;1;0;0;0;0;0;0;0;0;0;0;0
