CIDADES;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
ALEGRETE;0;0;1;0;1;0;0;0;0;0;0;0
ALPESTRE;0;0;0;0;0;0;0;0;1;0;0;0
ALVORADA;1;0;0;1;0;2;0;1;1;1;0;0
ANTA GORDA;0;0;0;0;0;0;0;0;0;1;0;0
ARARICA;0;0;0;0;0;1;0;0;0;0;0;0
ARROIO DO TIGRE;0;0;1;0;0;0;0;0;0;0;0;0
BARRA DO GUARITA;0;0;0;0;0;0;0;0;0;0;1;0
BENTO GONCALVES;0;0;2;0;2;0;1;0;0;0;1;1
BROCHIER;0;0;0;0;2;0;0;0;0;0;0;0
CACAPAVA DO SUL;0;1;0;0;0;0;0;0;0;0;0;0
CACHOEIRINHA;1;0;0;0;0;0;0;1;1;0;0;0
CAMAQUA;0;0;0;0;0;0;0;0;0;0;1;0
CAMPINA DAS MISSOES;0;0;0;1;0;0;0;0;0;0;0;0
CAMPO BOM;0;0;0;0;0;0;0;0;0;1;0;0
CANDIOTA;1;0;0;0;0;1;0;0;0;0;0;0
CANELA;0;1;0;0;0;0;0;0;0;0;1;0
CANOAS;0;0;0;0;2;4;1;0;0;1;0;0
CAPAO DA CANOA;0;0;1;0;0;0;0;0;0;0;1;0
CAPAO DO LEAO;0;0;0;0;1;0;0;0;0;0;0;0
CAPIVATI DO SUL;0;0;0;0;0;0;0;0;0;0;0;1
CARAZINHO;0;0;3;0;0;0;0;0;0;0;0;0
CATUIPE;0;0;0;0;0;1;1;0;0;1;0;0
CAXIAS DO SUL;1;1;0;0;0;0;0;0;0;2;1;3
CERRO GRANDE DO SUL;0;0;0;0;0;0;0;0;0;1;1;0
CHARQUEADAS;0;1;0;0;0;1;0;0;0;0;0;0
CHUI;1;0;0;0;0;0;0;0;0;0;0;0
CONDOR;0;0;0;0;0;0;0;0;0;0;4;0
CONSTANTINA;0;0;0;0;1;0;0;0;0;0;0;0
CRUZ ALTA;0;0;1;0;0;2;0;1;0;0;0;0
DOM PEDRITO;1;0;0;0;0;0;0;0;0;0;1;0
ELDORADO DO SUL;0;0;0;1;0;0;0;1;0;0;0;0
ENCRUZILHADA DO SUL;0;0;0;0;0;0;0;0;0;1;0;0
ENTRE IJUIS;0;1;0;0;0;0;0;0;0;0;0;0
ERECHIM;1;0;0;0;0;0;0;0;0;0;0;1
ESTANCIA VELHA;0;0;0;1;0;0;0;0;0;0;0;0
ESTRELA;1;0;0;1;0;1;0;0;0;0;0;0
FARROUPILHA;0;0;0;0;0;0;1;0;0;1;0;0
FORMIGUEIRO;0;0;0;0;0;0;0;0;0;2;0;0
GENERAL CAMARA;0;0;0;0;0;0;0;0;0;0;0;1
GETULIO VARGAS;0;0;0;1;0;0;0;0;0;0;2;0
GIRUA;0;0;0;0;1;0;0;0;0;0;0;0
GRAMADO;0;0;0;0;0;0;0;0;0;0;0;1
GRAVATAI;0;0;0;2;0;0;2;0;0;0;1;2
GUAIBA;1;2;0;0;0;2;0;0;0;0;1;0
GUAPORE;0;0;0;0;0;0;0;1;0;1;0;0
IJUI;0;0;0;0;0;0;0;1;0;0;0;0
IMBE;0;0;0;1;0;0;0;1;0;0;0;0
INHACORA;1;0;0;0;0;0;0;0;0;0;0;0
IRAI;0;0;0;0;0;0;0;0;0;0;0;1
ITAARA;1;0;0;0;0;0;0;0;0;0;0;0
ITAQUI;0;1;0;0;0;0;0;0;0;0;0;0
JAGUARAO;0;0;0;0;0;0;0;1;0;0;0;0
JAGUARI;0;0;0;0;0;0;0;1;0;0;0;0
JULIO DE CASTILHOS;0;0;0;1;0;0;0;0;0;0;0;0
LAJEADO;0;0;1;1;0;0;0;0;0;0;0;0
MARAU;1;0;0;0;0;0;0;0;0;0;0;0
MATO LEITAO;0;0;0;0;0;0;0;0;0;0;0;2
MORRO REDONDO;0;0;0;0;0;0;0;1;0;0;0;0
MOSTARDAS;0;0;0;0;0;0;0;0;0;1;0;0
NAO-ME-TOQUE;0;0;0;1;0;0;0;0;0;0;0;0
NOVA PALMA;0;0;0;0;0;0;0;0;1;0;0;1
NOVA PRATA;0;0;0;0;0;0;0;0;0;0;1;1
NOVO CABRAIS;0;0;0;0;0;0;0;0;0;0;0;1
NOVO HAMBURGO;0;0;0;1;0;1;0;0;0;1;0;0
PALMARES DO SUL;0;0;1;0;0;0;0;0;0;0;0;0
PALMITINHO;0;0;0;0;0;0;0;1;0;0;0;0
PANAMBI;0;0;0;0;0;1;0;0;0;0;0;0
PAROBE;0;0;0;0;1;0;0;0;0;0;0;0
PASSO FUNDO;1;0;1;4;1;1;3;0;2;2;4;1
PELOTAS;3;0;1;0;0;0;1;1;1;0;0;2
PINHEIRINHO DO VALE;0;0;0;1;0;0;0;0;0;0;0;0
PLANALTO;0;0;0;0;0;0;0;0;1;0;0;0
PORTAO;1;0;0;0;0;0;0;0;0;0;0;0
PORTO ALEGRE;8;6;7;6;8;0;6;4;2;6;6;5
REDENTORA;0;0;0;0;0;0;1;0;0;0;0;0
RIO GRANDE;2;0;1;0;0;0;0;1;0;2;0;1
ROCA SALES;0;0;0;0;1;0;0;0;0;0;0;0
RONDA ALTA;0;0;0;0;0;0;0;0;0;0;1;0
ROSARIO DO SUL;1;0;1;0;0;0;0;0;0;0;0;0
SALDANHA MARINHO;0;0;0;0;0;0;0;0;0;0;1;0
