CIDADES;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
ACEGUA;0;0;0;1;0;2;1;1;0;1;0;0
AGUA SANTA;0;0;1;0;0;1;0;0;0;0;1;1
AGUDO;5;7;0;6;4;1;0;0;3;1;2;3
AJURICABA;1;0;2;1;0;1;2;1;1;2;4;0
ALECRIM;1;0;1;0;0;1;2;0;3;0;1;0
ALEGRETE;14;18;13;11;5;15;7;11;12;8;14;14
ALEGRIA;0;0;0;0;0;0;0;1;0;1;1;0
ALMIRANTE TAMANDARE DO SUL;0;0;0;0;0;0;0;0;0;0;0;0
ALPESTRE;0;0;0;1;0;0;0;0;1;0;1;1
ALTO ALEGRE;0;0;0;0;0;0;0;1;0;0;0;0
ALTO FELIZ;0;0;0;0;0;0;0;0;0;0;0;0
ALVORADA;33;29;48;41;31;20;30;26;32;26;40;56
AMARAL FERRADOR;0;0;0;0;0;0;1;0;2;0;0;0
AMETISTA DO SUL;1;1;1;1;1;0;2;1;1;1;1;2
ANDRE DA ROCHA;0;0;0;2;0;0;0;0;0;0;0;0
ANTA GORDA;0;0;1;0;0;0;1;0;0;2;0;1
ANTONIO PRADO;1;0;4;1;0;0;0;2;0;0;1;1
ARAMBARE;1;1;1;0;0;0;0;0;0;0;2;0
ARARICA;2;2;0;0;1;0;1;1;2;1;0;2
ARATIBA;0;1;0;3;0;4;0;0;0;1;0;1
ARROIO DO MEIO;2;1;0;1;2;1;3;2;0;0;3;3
ARROIO DO PADRE;0;1;0;0;0;0;0;0;0;0;0;0
ARROIO DO SAL;3;4;4;3;2;1;1;1;1;2;3;9
ARROIO DO TIGRE;2;1;1;0;0;2;2;0;2;1;1;1
ARROIO DOS RATOS;2;0;2;1;3;0;1;4;2;1;0;2
ARROIO GRANDE;1;5;2;3;2;4;1;1;1;0;2;2
ARVOREZINHA;1;1;0;4;1;0;2;0;2;0;0;1
AUGUSTO PESTANA;1;1;0;0;1;0;0;0;1;0;0;1
AUREA;1;0;1;0;1;1;0;1;1;0;0;1
BAGE;18;19;15;26;16;17;22;30;21;27;31;35
BALNEARIO PINHAL;6;8;7;4;2;2;1;4;3;4;2;5
BARAO;0;0;0;1;0;1;0;0;0;0;0;0
BARAO DE COTEGIPE;1;3;2;1;1;3;1;1;0;0;1;5
BARAO DO TRIUNFO;0;0;1;0;0;0;1;0;0;2;1;0
BARRA DO GUARITA;0;0;1;0;0;0;1;0;1;0;0;0
BARRA DO QUARAI;1;1;1;0;0;1;1;0;0;1;2;0
BARRA DO RIBEIRO;2;3;2;2;1;2;0;2;1;1;2;4
BARRA DO RIO AZUL;0;0;0;0;0;0;1;0;0;0;0;1
BARRA FUNDA;0;0;0;0;0;0;0;1;0;0;0;0
BARRACAO;2;1;2;2;0;0;0;0;0;0;2;0
BARROS CASSAL;0;2;0;0;0;1;0;0;1;2;0;1
BENJAMIN CONSTANT DO SUL;0;0;0;0;0;0;0;0;0;0;0;0
BENTO GONCALVES;20;26;25;13;16;11;15;21;15;20;16;19
BOA VISTA DAS MISSOES;1;0;1;0;0;0;0;0;0;1;0;0
BOA VISTA DO BURICA;1;0;0;0;0;0;0;0;0;1;1;0
BOA VISTA DO CADEADO;1;1;0;1;0;0;0;0;0;0;0;0
BOA VISTA DO INCRA;0;0;0;0;1;0;0;0;0;0;0;0
BOA VISTA DO SUL;0;0;0;0;0;1;0;0;0;0;0;1
BOM JESUS;4;1;2;1;0;3;4;1;2;3;0;2
BOM PRINCIPIO;2;1;4;1;2;0;1;0;2;0;2;3
BOM PROGRESSO;0;0;0;2;0;0;0;1;0;1;0;1
BOM RETIRO DO SUL;2;1;1;1;2;3;1;2;1;1;0;2
BOQUEIRAO DO LEAO;1;0;1;1;0;0;1;0;0;0;0;0
BOSSOROCA;1;1;0;0;2;1;1;2;0;1;0;1
BOZANO;0;0;0;0;0;0;0;0;0;0;0;0
BRAGA;0;2;0;0;0;0;0;0;0;0;0;1
BROCHIER;2;2;0;0;0;0;1;0;0;0;0;0
BUTIA;1;2;6;0;3;4;2;0;4;1;5;1
CACAPAVA DO SUL;4;3;11;5;1;7;3;4;6;8;12;10
CACEQUI;0;2;4;0;1;2;0;1;3;1;2;0
CACHOEIRA DO SUL;18;12;13;21;11;17;14;17;15;14;13;27
CACHOEIRINHA;23;27;22;15;29;21;12;11;26;27;22;24
CACIQUE DOBLE;0;2;0;1;1;1;0;0;0;0;1;2
CAIBATE;2;0;0;0;0;0;0;0;2;0;0;1
