data;pm10;so2;no2;o3;co 
2/1/18 12:00;;0,91;0,77;36,20;1,32
2/1/18 13:00;;0,23;2,35;25,34;0,99
2/1/18 14:00;;0,13;5,72;23,47;0,94
2/1/18 15:00;;0,07;2,05;19,62;0,89
2/1/18 16:00;;0,07;2,00;21,06;0,86
2/1/18 17:00;3,5;0,07;2,66;23,20;0,85
2/1/18 18:00;8,25;0,17;3,67;29,63;0,82
2/1/18 19:00;19,5;0,17;3,62;29,47;0,80
2/1/18 20:00;12,25;0,28;3,62;29,57;0,77
2/1/18 21:00;13,25;0,18;2,42;29,11;0,77
2/1/18 22:00;17,75;0,23;6,58;22,85;0,81
2/1/18 23:00;22,25;0,30;6,21;19,86;0,82
3/1/18 0:00;13,25;0,47;6,63;16,72;0,79
3/1/18 1:00;18,25;0,29;8,71;8,70;0,79
3/1/18 2:00;13,5;0,23;6,49;10,24;0,76
3/1/18 3:00;14,25;0,19;10,98;4,61;0,76
3/1/18 4:00;13,75;0,17;10,46;3,99;0,75
3/1/18 5:00;23,67;0,24;12,78;;0,77
3/1/18 6:00;34,33;0,24;9,38;2,77;0,75
3/1/18 7:00;;0,51;5,40;5,75;0,78
3/1/18 8:00;;0,75;1,53;12,63;0,74
3/1/18 9:00;3,75;0,43;1,04;18,98;0,73
3/1/18 11:00;;;;;
3/1/18 12:00;21,33;;;;
3/1/18 13:00;18;;;;
3/1/18 14:00;21,25;;;;
3/1/18 15:00;21,75;;;;
3/1/18 16:00;26,5;0,45;1,46;44,31;0,18
3/1/18 17:00;24,75;0,63;1,45;46,39;0,20
3/1/18 18:00;31;1,42;7,54;39,39;0,25
3/1/18 19:00;38;6,62;13,53;30,90;0,28
3/1/18 20:00;34;3,08;5,32;35,53;0,27
3/1/18 21:00;31;2,65;7,05;34,82;0,30
3/1/18 22:00;28,25;1,15;2,75;36,49;0,31
3/1/18 23:00;24,5;0,70;2,85;33,25;0,32
4/1/18 0:00;20;0,57;3,90;29,33;0,32
4/1/18 1:00;18,5;0,50;3,10;31,47;0,30
4/1/18 2:00;13,75;0,38;2,39;30,72;0,28
4/1/18 3:00;27;0,37;10,44;14,84;0,33
4/1/18 4:00;33;0,31;14,80;3,93;0,37
4/1/18 5:00;;0,45;16,90;1,59;0,41
4/1/18 6:00;;0,33;14,72;6,97;0,41
4/1/18 7:00;29,33;0,49;8,60;8,04;0,37
4/1/18 8:00;22,75;1,17;4,03;19,47;0,31
4/1/18 9:00;25,5;3,90;3,50;38,56;0,28
4/1/18 10:00;21,25;1,10;1,24;39,74;0,27
4/1/18 11:00;25,25;0,73;0,38;43,74;0,26
4/1/18 12:00;24;0,54;0,38;46,87;0,23
4/1/18 13:00;26,25;0,47;0,38;48,08;0,22
4/1/18 14:00;22,75;0,36;0,38;47,61;0,17
4/1/18 15:00;20,25;0,65;0,38;47,97;0,11
4/1/18 16:00;17,67;1,04;1,50;55,67;0,12
4/1/18 17:00;26,5;1,20;3,42;59,00;0,13
4/1/18 18:00;23,75;1,03;3,46;55,90;0,14
4/1/18 19:00;36;0,98;9,17;51,54;0,19
4/1/18 20:00;45,25;0,83;8,38;51,69;0,25
4/1/18 21:00;33;0,98;8,57;43,97;0,26
4/1/18 22:00;45,5;0,92;6,98;42,90;0,29
4/1/18 23:00;31,25;0,75;7,86;39,45;0,29
5/1/18 0:00;27,75;0,69;13,57;29,42;0,37
5/1/18 1:00;40;0,50;15,78;17,49;0,43
5/1/18 2:00;46;0,49;19,35;4,54;0,42
5/1/18 3:00;36,75;0,37;17,41;6,17;0,35
5/1/18 4:00;40,75;0,43;18,79;4,76;0,36
5/1/18 5:00;48,25;0,55;17,48;6,73;0,39
5/1/18 6:00;86,25;0,90;25,03;1,28;0,44
5/1/18 7:00;40,75;1,93;16,32;7,46;0,41
5/1/18 8:00;32,25;2,02;7,33;25,95;0,32
5/1/18 9:00;24,75;1,08;1,94;37,88;0,23
5/1/18 10:00;22;3,48;2,94;47,85;0,23
5/1/18 11:00;27,75;2,19;1,93;56,63;0,23
5/1/18 12:00;26,5;0,81;1,15;56,80;0,23
5/1/18 13:00;25;0,66;0,95;57,13;0,22
5/1/18 14:00;23,5;0,53;0,97;56,70;0,22
5/1/18 15:00;20,5;0,52;0,38;53,76;0,21
5/1/18 16:00;17,67;0,44;0,38;55,46;0,19
5/1/18 17:00;17,5;0,45;0,38;57,25;0,19
5/1/18 18:00;19,25;0,42;1,12;57,36;0,18
5/1/18 19:00;26,5;0,40;6,34;52,72;0,21
5/1/18 20:00;43,25;0,62;13,25;41,61;0,40
5/1/18 21:00;42,25;0,89;10,91;45,03;0,39
5/1/18 22:00;45,5;0,81;13,85;38,16;0,44
5/1/18 23:00;41,5;0,64;12,50;31,88;0,41
6/1/18 0:00;45,75;0,54;20,80;15,13;0,45
6/1/18 1:00;51,75;0,33;16,03;13,73;0,42
6/1/18 2:00;48,75;0,27;15,83;13,06;0,46
6/1/18 3:00;48,5;0,45;16,38;10,95;0,48
6/1/18 4:00;36,5;0,46;10,84;7,70;0,40
6/1/18 5:00;36,5;0,38;6,81;21,58;0,36
6/1/18 6:00;35,75;0,50;1,08;43,95;0,24
6/1/18 7:00;34,5;0,49;1,55;39,23;0,19
6/1/18 8:00;25,5;0,41;1,57;39,84;0,18
6/1/18 9:00;23,25;0,37;2,33;40,38;0,18
6/1/18 10:00;17,75;0,32;2,64;40,11;0,19
6/1/18 11:00;14,25;0,26;0,38;41,85;0,17
6/1/18 12:00;12,5;0,25;0,38;41,55;0,16
6/1/18 13:00;16;0,31;1,16;39,66;0,19
6/1/18 14:00;25,75;0,30;2,23;39,50;0,21
6/1/18 15:00;11,25;0,24;1,08;41,70;0,19
6/1/18 16:00;9;0,15;0,99;40,29;0,18
6/1/18 17:00;29,25;0,26;0,80;29,56;0,17
6/1/18 18:00;31,5;0,32;1,20;28,27;0,16
6/1/18 19:00;35,5;0,32;1,61;26,33;0,17
6/1/18 20:00;33;0,34;2,56;24,36;0,19
6/1/18 21:00;29;0,40;2,12;23,35;0,17
6/1/18 22:00;26;0,42;1,87;23,84;0,17
6/1/18 23:00;22;0,40;1,94;21,20;0,18
7/1/18 0:00;21,75;0,31;1,91;20,15;0,19
7/1/18 1:00;20,25;0,29;1,26;20,41;0,17
7/1/18 2:00;23,25;0,35;2,19;19,08;0,19
7/1/18 3:00;19,5;0,36;2,88;19,25;0,18
7/1/18 4:00;24;0,61;4,21;17,79;0,21
7/1/18 5:00;24;0,41;2,79;19,81;0,18
7/1/18 6:00;22,5;0,47;3,74;18,42;0,17
7/1/18 7:00;28,5;1,96;5,72;16,92;0,20
7/1/18 8:00;23,25;0,68;0,38;24,94;0,16
7/1/18 9:00;23;0,29;0,38;27,69;0,13
7/1/18 10:00;28,5;0,86;1,24;28,17;0,13
7/1/18 11:00;31,25;6,86;6,96;22,15;0,16
7/1/18 12:00;37,75;1,03;0,96;26,54;0,13
7/1/18 13:00;29;0,39;0,38;27,67;0,12
7/1/18 14:00;24;0,38;1,25;27,04;0,12
