;;;;;
data;pm10;so2;no2;o3;co 
1/1/19 1:00;22,25;0,14;4,91;26,29;0,50
1/1/19 2:00;22;0,14;4,04;29,37;0,46
1/1/19 3:00;32,75;0,15;6,39;41,61;0,46
1/1/19 4:00;41;0,16;2,27;50,85;0,45
1/1/19 5:00;41,75;0,15;2,59;45,76;0,46
1/1/19 6:00;39,25;0,17;3,17;39,43;0,48
1/1/19 7:00;33;0,07;2,21;37,55;0,47
1/1/19 8:00;32,5;0,17;9,35;33,93;0,48
1/1/19 9:00;30;0,18;3,77;46,02;0,48
1/1/19 10:00;25;0,21;3,03;55,20;0,48
1/1/19 11:00;29,5;0,19;3,58;69,76;0,47
1/1/19 12:00;32,25;0,44;3,99;80,15;0,47
1/1/19 13:00;30;0,58;3,82;82,09;0,46
1/1/19 14:00;33,5;2,61;16,80;57,91;0,45
1/1/19 15:00;25;1,51;9,58;56,47;0,40
1/1/19 16:00;18,5;2,63;3,06;59,48;0,38
1/1/19 17:00;20,5;1,41;2,08;50,50;0,37
1/1/19 18:00;41,75;1,11;3,33;45,89;0,40
1/1/19 19:00;36,25;0,92;6,25;39,06;0,42
1/1/19 20:00;34;0,75;6,53;31,41;0,46
1/1/19 21:00;34;0,59;8,60;24,16;0,50
1/1/19 22:00;29,5;0,71;6,80;21,21;0,47
1/1/19 23:00;22,5;0,37;4,55;20,99;0,46
2/1/19 0:00;31,5;0,28;5,49;18,71;0,52
2/1/19 1:00;24,25;0,25;5,17;17,58;0,50
2/1/19 2:00;19,75;0,22;4,09;18,32;0,48
2/1/19 3:00;21,5;0,22;4,41;16,77;0,48
2/1/19 4:00;25,75;0,23;10,94;7,31;0,47
2/1/19 5:00;21,5;0,23;16,07;1,57;0,48
2/1/19 6:00;26,25;0,29;16,15;1,33;0,50
2/1/19 7:00;32;0,26;16,14;2,96;0,51
2/1/19 8:00;30,75;0,30;15,23;7,66;0,54
2/1/19 9:00;28,25;0,27;12,64;27,97;0,50
2/1/19 10:00;28;0,23;5,28;49,05;0,47
2/1/19 11:00;32,75;0,23;3,45;60,70;0,46
2/1/19 12:00;26;0,22;2,84;61,77;0,45
2/1/19 13:00;28,25;0,29;2,50;60,50;0,44
2/1/19 14:00;23,5;0,36;2,29;65,00;0,45
2/1/19 15:00;27,25;0,37;2,22;67,98;0,45
2/1/19 16:00;21,25;0,39;1,82;67,20;0,45
2/1/19 17:00;22,5;0,39;1,92;66,40;0,45
2/1/19 18:00;41,25;0,40;5,39;62,40;0,47
2/1/19 19:00;24;0,40;12,15;48,29;0,50
2/1/19 20:00;73,75;0,39;17,50;39,34;0,52
2/1/19 21:00;57;0,31;28,55;21,49;0,58
2/1/19 22:00;60,25;0,39;46,90;4,62;0,70
2/1/19 23:00;54;0,35;35,54;10,36;0,67
3/1/19 0:00;53,75;0,30;37,54;3,68;0,69
3/1/19 1:00;45,5;0,24;26,79;12,42;0,66
3/1/19 2:00;36,25;0,20;15,28;13,91;0,57
3/1/19 3:00;24;0,17;9,16;22,93;0,54
