;;;;;
data;pm10;so2;no2;o3;co 
9/1/19 1:00;;15,06;1,35;;0,05
9/1/19 2:00;;15,05;3,23;;0,05
9/1/19 3:00;;15,03;4,51;;0,11
9/1/19 4:00;;14,94;4,07;;0,13
9/1/19 5:00;;14,94;6,75;;0,13
9/1/19 6:00;;14,86;15,93;;0,27
9/1/19 7:00;6;14,34;39,29;;0,80
9/1/19 8:00;6;14,17;29,98;;0,56
9/1/19 9:00;6;14,50;21,95;;0,39
9/1/19 10:00;6;14,34;;;0,15
9/1/19 11:00;6;14,63;;;0,05
9/1/19 12:00;6;14,38;;;
9/1/19 13:00;6;14,28;;;0,05
9/1/19 14:00;6;14,28;;;0,05
9/1/19 15:00;6;14,25;;;0,13
9/1/19 16:00;6;14,42;;;0,05
9/1/19 17:00;6;14,50;;;0,05
9/1/19 18:00;6;14,47;;;0,12
9/1/19 19:00;6;14,31;;;0,18
9/1/19 20:00;6;14,57;;;0,11
9/1/19 21:00;6;14,58;;;0,19
9/1/19 22:00;6;14,43;;;0,17
9/1/19 23:00;6;14,49;;;0,14
10/1/19 0:00;6;14,52;;;0,24
10/1/19 1:00;;14,51;;;0,22
10/1/19 2:00;;14,58;;;0,18
10/1/19 3:00;;14,55;;;0,14
10/1/19 4:00;;14,52;;;0,13
10/1/19 5:00;;14,51;;;0,22
10/1/19 6:00;;14,58;;;0,28
10/1/19 7:00;;14,45;;;0,31
10/1/19 8:00;;14,24;;;0,42
10/1/19 9:00;;14,11;;;0,50
10/1/19 10:00;;13,87;;;
10/1/19 11:00;;14,06;;;0,34
10/1/19 12:00;;14,06;;;0,24
10/1/19 13:00;;14,05;;;0,38
10/1/19 14:00;;14,09;;;0,34
10/1/19 15:00;;14,22;;;0,48
10/1/19 16:00;;14,35;;;0,49
10/1/19 17:00;;14,51;;;0,55
10/1/19 18:00;;14,59;;;0,52
10/1/19 19:00;;14,63;;;0,48
10/1/19 20:00;;14,70;;;0,47
10/1/19 21:00;;14,71;;;0,36
10/1/19 22:00;;14,66;;;0,34
10/1/19 23:00;;14,52;;;0,26
11/1/19 0:00;;14,55;;;0,13
11/1/19 1:00;;14,41;;;0,17
11/1/19 2:00;;14,67;;;0,05
11/1/19 3:00;;14,77;;;0,05
11/1/19 4:00;;14,77;;;0,05
11/1/19 5:00;;14,62;;;0,11
11/1/19 6:00;;14,56;;;0,13
11/1/19 7:00;;14,51;;;0,12
11/1/19 8:00;;14,46;;;0,14
11/1/19 9:00;;14,49;;;0,21
11/1/19 10:00;;14,36;;;0,21
11/1/19 11:00;;14,14;19,87;;0,14
11/1/19 12:00;;14,46;9,65;;0,23
11/1/19 13:00;;14,46;6,69;;0,12
11/1/19 14:00;;14,51;10,53;;0,11
11/1/19 15:00;;14,39;11,62;;0,13
11/1/19 16:00;;14,54;10,61;;0,14
11/1/19 17:00;;14,50;10,09;;0,13
11/1/19 18:00;;14,55;15,81;;0,11
11/1/19 19:00;;15,01;10,09;;0,17
11/1/19 20:00;;17,23;11,08;;0,24
11/1/19 21:00;;18,72;7,22;;0,21
11/1/19 22:00;;17,81;6,11;;0,12
11/1/19 23:00;;16,63;6,47;;0,11
12/1/19 0:00;;17,02;4,69;;0,13
12/1/19 1:00;;16,59;3,54;;0,15
12/1/19 2:00;;16,56;4,04;;0,14
12/1/19 3:00;;15,77;5,57;;0,05
12/1/19 4:00;;15,22;5,25;;0,05
12/1/19 5:00;;14,98;5,57;;0,10
12/1/19 6:00;;16,18;4,48;;0,05
12/1/19 7:00;;16,44;3,60;;0,05
12/1/19 8:00;;16,17;4,08;;0,10
12/1/19 9:00;;16,31;4,76;;0,12
12/1/19 10:00;;16,43;4,10;;0,10
12/1/19 11:00;;16,49;3,26;;0,05
12/1/19 12:00;;15,73;2,41;;0,12
12/1/19 13:00;;16,13;2,33;;0,12
12/1/19 14:00;;16,83;3,49;;0,10
12/1/19 15:00;;16,68;3,25;;0,05
12/1/19 16:00;;16,15;3,09;;0,13
12/1/19 17:00;;16,10;4,12;;0,11
12/1/19 18:00;;18,21;5,06;;0,12
12/1/19 19:00;;18,36;6,80;;0,17
12/1/19 20:00;;18,79;5,09;;0,16
12/1/19 21:00;;18,84;4,28;;0,17
12/1/19 22:00;;17,28;5,00;;0,18
12/1/19 23:00;;17,15;4,23;;0,14
13/1/19 0:00;;16,84;2,69;;0,05
13/1/19 1:00;;16,60;2,69;;0,05
13/1/19 2:00;;16,18;4,76;;0,10
13/1/19 3:00;;15,32;5,21;;0,10
13/1/19 4:00;;15,25;7,09;;0,11
13/1/19 5:00;;15,26;7,01;;0,17
13/1/19 6:00;;14,89;4,18;;0,21
13/1/19 7:00;;14,76;2,91;;0,19
13/1/19 8:00;;14,76;3,35;;0,05
13/1/19 9:00;;14,76;3,95;;0,10
13/1/19 10:00;;14,73;3,31;;0,10
13/1/19 11:00;;14,63;2,79;;0,11
13/1/19 12:00;;14,60;2,82;;0,10
13/1/19 13:00;;14,60;2,52;;0,11
13/1/19 14:00;;14,51;3,27;;0,10
13/1/19 15:00;;14,47;4,47;;0,05
13/1/19 16:00;;14,58;4,96;;0,10
13/1/19 17:00;;14,72;4,02;;0,15
13/1/19 18:00;;14,89;10,75;;0,20
13/1/19 19:00;;14,88;6,48;;0,17
13/1/19 20:00;;15,09;10,11;;0,18
13/1/19 21:00;;15,11;13,71;;0,24
13/1/19 22:00;;14,92;14,04;;0,24
13/1/19 23:00;;14,98;13,88;;0,23
14/1/19 0:00;;14,99;6,25;;0,24
14/1/19 1:00;;14,97;4,70;;0,27
14/1/19 2:00;;14,97;6,63;;0,27
14/1/19 3:00;;14,91;7,82;;0,27
14/1/19 4:00;;14,99;15,27;;0,30
14/1/19 5:00;;14,96;13,03;;0,32
14/1/19 6:00;;14,84;9,58;;0,42
14/1/19 7:00;;14,50;6,41;;0,43
14/1/19 8:00;;14,58;13,16;;0,51
14/1/19 9:00;;14,44;16,19;;0,23
14/1/19 10:00;;14,43;10,82;;0,14
14/1/19 11:00;;14,39;7,75;;0,11
14/1/19 12:00;;13,78;3,16;;
14/1/19 13:00;;13,91;;;0,34
14/1/19 14:00;;14,11;;;
14/1/19 15:00;;14,16;;;0,17
14/1/19 16:00;;14,57;;;0,13
14/1/19 17:00;;14,79;;;0,12
14/1/19 18:00;;14,78;;;0,10
14/1/19 19:00;;15,26;;;0,16
14/1/19 20:00;;15,44;;;0,11
14/1/19 21:00;;15,38;;;0,10
14/1/19 22:00;;14,91;;;0,13
14/1/19 23:00;;14,96;;;0,10
15/1/19 0:00;;14,95;;;0,21
15/1/19 1:00;;15,22;;;0,21
15/1/19 2:00;;15,23;;;0,15
15/1/19 3:00;;15,16;;;0,19
15/1/19 4:00;;15,16;;;0,28
15/1/19 5:00;;15,03;;;0,48
15/1/19 6:00;;15,15;;;0,70
15/1/19 7:00;;14,67;;;0,60
15/1/19 8:00;;14,48;;;0,64
15/1/19 9:00;;14,53;;;0,42
15/1/19 10:00;;14,58;;;0,58
15/1/19 11:00;;14,36;;;0,77
15/1/19 12:00;;14,17;;;0,76
15/1/19 13:00;;14,40;5,25;;0,54
15/1/19 14:00;;14,40;9,31;32,20;0,39
15/1/19 15:00;;14,28;9,68;33,56;0,40
15/1/19 16:00;;14,24;13,34;27,20;0,50
15/1/19 17:00;;14,49;13,34;26,30;0,46
15/1/19 18:00;;14,57;8,83;32,57;0,46
15/1/19 19:00;;14,72;6,03;30,17;0,50
15/1/19 20:00;;14,64;6,14;41,49;0,42
15/1/19 21:00;;14,75;7,50;31,83;0,39
15/1/19 22:00;;14,86;7,10;29,59;0,30
15/1/19 23:00;;14,93;5,41;24,34;0,30
16/1/19 0:00;;14,94;4,28;19,55;0,05
16/1/19 1:00;;14,96;2,49;17,80;0,05
16/1/19 2:00;;15,06;3,57;16,55;0,05
16/1/19 3:00;;15,14;4,34;18,10;0,05
16/1/19 4:00;;15,06;12,44;10,06;0,05
16/1/19 5:00;;14,97;16,75;2,93;0,05
16/1/19 6:00;;14,94;12,56;3,23;0,20
16/1/19 7:00;;14,72;10,28;3,41;0,24
16/1/19 8:00;;14,69;10,86;4,78;0,18
16/1/19 9:00;;14,51;15,88;9,61;0,13
16/1/19 10:00;;14,51;12,94;15,99;0,10
16/1/19 11:00;;14,54;9,73;21,65;0,05
16/1/19 12:00;;14,71;5,23;28,87;0,05
16/1/19 13:00;;14,72;5,08;26,97;0,05
16/1/19 14:00;;14,61;7,85;23,37;0,12
16/1/19 15:00;;14,74;11,33;25,95;0,05
16/1/19 16:00;;14,78;12,62;23,95;0,05
16/1/19 17:00;;14,80;13,77;17,43;0,11
16/1/19 18:00;;14,91;10,21;14,98;0,05
16/1/19 19:00;;15,00;10,26;10,48;0,05
16/1/19 20:00;;14,98;15,35;6,58;0,12
16/1/19 21:00;;15,32;21,99;5,47;0,17
16/1/19 22:00;;15,32;25,63;4,39;0,15
16/1/19 23:00;;15,40;22,28;4,11;0,11
17/1/19 0:00;;15,37;8,67;7,28;0,20
17/1/19 1:00;;15,32;6,25;7,03;0,22
17/1/19 2:00;;15,42;10,37;5,72;0,24
17/1/19 3:00;;15,30;13,88;4,60;0,20
17/1/19 4:00;;15,34;13,05;4,53;0,18
17/1/19 5:00;;15,11;14,57;4,79;0,18
17/1/19 6:00;;15,02;11,63;5,26;0,25
17/1/19 7:00;;14,77;6,68;7,80;0,28
17/1/19 8:00;;14,60;5,70;10,72;0,32
17/1/19 9:00;;14,39;9,26;11,85;0,46
17/1/19 10:00;;14,53;19,54;9,43;0,33
17/1/19 11:00;;14,60;13,36;11,81;0,30
17/1/19 12:00;;14,66;9,77;8,26;0,27
17/1/19 13:00;;14,49;4,39;12,42;0,17
17/1/19 14:00;;14,61;5,72;14,50;0,18
17/1/19 15:00;;14,67;9,71;17,07;0,05
17/1/19 16:00;;14,76;12,47;13,15;0,05
17/1/19 17:00;;14,94;10,31;11,23;0,05
17/1/19 18:00;;14,95;5,31;8,72;0,05
17/1/19 19:00;;15,01;5,60;6,10;0,13
17/1/19 20:00;;15,05;6,32;4,86;0,13
17/1/19 21:00;;15,27;7,60;4,85;0,05
17/1/19 22:00;;15,37;11,58;3,35;0,10
17/1/19 23:00;;15,36;7,91;3,61;0,05
18/1/19 0:00;;15,31;6,18;2,80;0,17
18/1/19 1:00;;15,31;4,07;5,20;0,14
18/1/19 2:00;;15,37;2,08;7,65;0,12
18/1/19 3:00;;15,35;3,40;7,53;0,13
18/1/19 4:00;;15,44;4,58;6,00;0,14
18/1/19 5:00;;15,50;9,05;2,60;0,16
18/1/19 6:00;;15,34;3,95;5,06;0,18
18/1/19 7:00;;14,63;2,81;5,28;0,17
18/1/19 8:00;;14,60;2,65;11,06;0,22
18/1/19 9:00;;14,85;3,39;11,91;0,13
18/1/19 10:00;;14,81;3,35;17,44;0,15
18/1/19 11:00;;14,64;2,69;18,41;0,25
18/1/19 12:00;;14,83;1,91;24,35;0,16
18/1/19 13:00;;14,56;2,95;23,38;0,29
18/1/19 14:00;;14,87;9,15;15,52;0,18
18/1/19 15:00;;14,95;17,61;8,63;0,26
18/1/19 16:00;;14,92;13,74;21,49;0,27
18/1/19 17:00;;14,98;17,35;20,57;0,25
18/1/19 18:00;;14,99;14,69;16,85;0,31
18/1/19 19:00;;15,00;13,48;8,64;0,37
18/1/19 20:00;;15,12;18,34;3,43;0,51
18/1/19 21:00;;15,69;13,84;13,33;0,39
18/1/19 22:00;;15,78;21,29;6,40;0,40
18/1/19 23:00;;15,68;17,93;3,09;0,35
19/1/19 0:00;;15,52;9,96;3,98;0,25
19/1/19 1:00;;15,46;5,92;4,01;0,21
19/1/19 2:00;;15,54;5,75;4,47;0,16
19/1/19 3:00;;15,66;7,51;6,07;0,10
19/1/19 4:00;;15,76;8,22;10,51;0,05
19/1/19 5:00;;15,76;8,87;7,22;0,05
19/1/19 6:00;;15,71;5,91;7,73;0,05
19/1/19 7:00;;15,40;3,52;12,55;0,05
19/1/19 8:00;;15,43;3,04;15,79;0,05
19/1/19 9:00;;15,57;5,56;14,86;0,05
19/1/19 10:00;;15,37;9,19;13,12;0,05
19/1/19 11:00;;15,34;7,85;12,27;0,05
19/1/19 12:00;;15,63;6,44;9,06;0,05
19/1/19 13:00;;17,56;2,62;15,19;0,05
19/1/19 14:00;;19,07;5,20;10,22;0,05
19/1/19 15:00;;21,03;5,75;10,86;0,05
19/1/19 16:00;;19,56;3,82;13,82;0,05
19/1/19 17:00;;17,71;4,10;13,26;0,05
19/1/19 18:00;;17,13;5,65;10,96;0,05
19/1/19 19:00;;17,21;3,05;11,93;0,05
19/1/19 20:00;;18,64;3,95;11,43;0,11
19/1/19 21:00;;17,60;7,00;9,32;0,13
19/1/19 22:00;;17,92;11,08;7,37;0,05
19/1/19 23:00;;18,80;9,56;6,03;0,05
20/1/19 0:00;;19,54;5,21;5,36;0,05
21/1/19 1:00;;17,95;1,71;15,70;0,18
21/1/19 2:00;;18,18;1,51;15,08;0,16
21/1/19 3:00;;17,48;1,77;16,53;0,15
21/1/19 4:00;;16,75;1,87;16,65;0,13
21/1/19 5:00;;16,14;2,69;14,22;0,15
21/1/19 6:00;;15,83;3,80;9,98;0,25
21/1/19 7:00;;16,74;4,97;5,98;0,30
21/1/19 8:00;;15,58;6,26;;
21/1/19 9:00;;14,95;9,40;;0,29
21/1/19 10:00;;15,03;9,98;4,83;0,13
21/1/19 11:00;;15,23;10,03;7,94;0,11
21/1/19 12:00;;14,83;5,79;13,69;0,20
21/1/19 13:00;;15,20;4,97;;0,23
21/1/19 14:00;6;14,87;4,68;;0,18
21/1/19 15:00;6;14,72;9,46;;0,26
21/1/19 16:00;6;14,90;9,72;;0,23
21/1/19 17:00;6;14,94;11,04;;0,16
21/1/19 18:00;6;14,95;4,12;;0,16
