;;;;;
data;pm10;so2;no2;o3;co 
1/1/19 1:00;;1,30;2,80;14,66;0,03
1/1/19 2:00;;1,30;3,42;15,64;0,03
1/1/19 3:00;;1,30;3,64;20,82;0,03
1/1/19 4:00;;1,30;2,46;27,51;0,03
1/1/19 5:00;;1,30;1,40;30,02;0,03
1/1/19 6:00;;1,30;2,86;23,51;0,03
1/1/19 7:00;;1,30;6,59;21,90;0,03
1/1/19 8:00;;1,30;2,19;26,55;0,03
1/1/19 9:00;;1,30;0,38;24,35;0,03
1/1/19 10:00;;1,30;0,38;29,22;0,03
1/1/19 11:00;;1,30;0,38;35,64;0,03
1/1/19 12:00;;1,30;0,38;41,26;0,03
1/1/19 13:00;;1,30;0,38;45,46;0,03
1/1/19 14:00;;1,30;0,38;45,59;0,03
1/1/19 15:00;;1,30;0,38;44,08;0,03
1/1/19 16:00;;1,30;0,38;42,76;0,03
1/1/19 17:00;;1,30;0,38;39,15;0,03
1/1/19 18:00;;1,30;0,38;33,08;0,03
1/1/19 19:00;;1,30;1,15;29,14;0,03
1/1/19 20:00;;1,30;4,63;25,03;0,03
1/1/19 21:00;;1,30;9,36;17,28;0,03
1/1/19 22:00;;1,30;10,89;14,52;0,03
1/1/19 23:00;;1,30;10,57;12,39;0,03
2/1/19 0:00;;1,30;7,68;13,31;0,03
2/1/19 1:00;;1,30;14,08;9,01;0,03
2/1/19 2:00;;1,30;19,20;7,81;0,03
2/1/19 3:00;;1,30;17,45;7,73;0,03
2/1/19 4:00;;1,30;12,14;10,47;0,03
2/1/19 5:00;;1,30;12,42;11,53;0,03
2/1/19 6:00;;1,30;7,54;11,77;0,03
2/1/19 7:00;;1,30;8,80;10,44;0,03
2/1/19 8:00;;1,30;9,56;11,00;0,03
2/1/19 9:00;;1,30;7,63;13,21;0,03
2/1/19 10:00;;1,30;3,21;31,36;0,03
2/1/19 11:00;;1,30;2,15;53,00;0,03
2/1/19 12:00;;1,30;1,97;58,83;0,03
2/1/19 13:00;;1,30;2,47;63,08;0,03
2/1/19 14:00;;1,30;2,09;57,23;0,03
2/1/19 15:00;;1,30;2,69;63,89;0,03
2/1/19 16:00;;1,30;3,23;66,53;0,03
2/1/19 17:00;;1,30;1,82;62,16;0,03
2/1/19 18:00;;1,30;9,48;63,59;0,03
2/1/19 19:00;;1,30;5,33;57,66;0,03
2/1/19 20:00;;1,30;5,37;53,84;0,03
2/1/19 21:00;;1,30;7,24;49,54;0,03
2/1/19 22:00;;1,30;18,90;30,56;0,03
2/1/19 23:00;;1,30;28,28;19,59;0,03
3/1/19 0:00;;1,30;8,28;34,15;0,03
3/1/19 1:00;;1,30;5,38;34,39;0,03
3/1/19 2:00;;1,30;2,41;40,31;0,03
3/1/19 3:00;;1,30;2,27;39,61;0,03
3/1/19 4:00;;1,30;3,47;38,55;0,03
3/1/19 5:00;;1,30;12,80;22,80;0,03
3/1/19 6:00;;1,30;12,36;22,54;0,03
3/1/19 7:00;;1,30;13,65;23,84;0,03
3/1/19 8:00;;1,30;10,87;28,55;0,03
3/1/19 9:00;;1,30;9,17;32,50;0,03
3/1/19 10:00;;1,30;5,32;38,03;0,03
3/1/19 11:00;;1,30;5,19;33,24;0,03
3/1/19 12:00;;1,30;9,20;29,91;0,03
3/1/19 13:00;;1,30;10,67;25,48;0,03
3/1/19 14:00;;1,30;11,17;34,96;0,03
3/1/19 15:00;;1,30;19,05;39,38;0,03
3/1/19 16:00;;1,30;15,35;36,72;0,03
3/1/19 17:00;;1,30;13,69;31,89;0,03
3/1/19 18:00;;1,30;11,99;26,43;0,03
3/1/19 19:00;;1,30;9,08;27,28;0,03
3/1/19 20:00;;1,30;5,90;25,55;0,03
3/1/19 21:00;;1,30;1,12;20,44;0,03
3/1/19 22:00;;1,30;1,15;17,23;0,03
3/1/19 23:00;;1,30;2,88;13,15;0,03
4/1/19 0:00;;1,30;3,62;14,19;0,03
4/1/19 1:00;;1,30;1,39;21,07;0,03
