Cidade;Data;Hora;PM10;SO2;NO2;O3;CO
Guaiba;01/01/2019;1:00;22,25;0,14;4,91;26,29;0,5
Guaiba;01/01/2019;2:00;22;0,14;4,04;29,37;0,46
Guaiba;01/01/2019;3:00;32,75;0,15;6,39;41,61;0,46
Guaiba;01/01/2019;4:00;41;0,16;2,27;50,85;0,45
Guaiba;01/01/2019;5:00;41,75;0,15;2,59;45,76;0,46
Guaiba;01/01/2019;6:00;39,25;0,17;3,17;39,43;0,48
Guaiba;01/01/2019;7:00;33;0,065;2,21;37,55;0,47
Guaiba;01/01/2019;8:00;32,5;0,17;9,35;33,93;0,48
Guaiba;01/01/2019;9:00;30;0,18;3,77;46,02;0,48
Guaiba;01/01/2019;10:00;25;0,21;3,03;55,2;0,48
Guaiba;01/01/2019;11:00;29,5;0,19;3,58;69,76;0,47
Guaiba;01/01/2019;12:00;32,25;0,44;3,99;80,15;0,47
Guaiba;01/01/2019;13:00;30;0,58;3,82;82,09;0,46
Guaiba;01/01/2019;14:00;33,5;2,61;16,8;57,91;0,45
Guaiba;01/01/2019;15:00;25;1,51;9,58;56,47;0,4
Guaiba;01/01/2019;16:00;18,5;2,63;3,06;59,48;0,38
Guaiba;01/01/2019;17:00;20,5;1,41;2,08;50,5;0,37
Guaiba;01/01/2019;18:00;41,75;1,11;3,33;45,89;0,4
Guaiba;01/01/2019;19:00;36,25;0,92;6,25;39,06;0,42
Guaiba;01/01/2019;20:00;34;0,75;6,53;31,41;0,46
Guaiba;01/01/2019;21:00;34;0,59;8,6;24,16;0,5
Guaiba;01/01/2019;22:00;29,5;0,71;6,8;21,21;0,47
Guaiba;01/01/2019;23:00;22,5;0,37;4,55;20,99;0,46
Guaiba;02/01/2019;0:00;31,5;0,28;5,49;18,71;0,52
Guaiba;02/01/2019;1:00;24,25;0,25;5,17;17,58;0,5
Guaiba;02/01/2019;2:00;19,75;0,22;4,09;18,32;0,48
Guaiba;02/01/2019;3:00;21,5;0,22;4,41;16,77;0,48
Guaiba;02/01/2019;4:00;25,75;0,23;10,94;7,31;0,47
Guaiba;02/01/2019;5:00;21,5;0,23;16,07;1,57;0,48
Guaiba;02/01/2019;6:00;26,25;0,29;16,15;1,33;0,5
Guaiba;02/01/2019;7:00;32;0,26;16,14;2,96;0,51
Guaiba;02/01/2019;8:00;30,75;0,3;15,23;7,66;0,54
Guaiba;02/01/2019;9:00;28,25;0,27;12,64;27,97;0,5
Guaiba;02/01/2019;10:00;28;0,23;5,28;49,05;0,47
Guaiba;02/01/2019;11:00;32,75;0,23;3,45;60,7;0,46
Guaiba;02/01/2019;12:00;26;0,22;2,84;61,77;0,45
Guaiba;02/01/2019;13:00;28,25;0,29;2,5;60,5;0,44
Guaiba;02/01/2019;14:00;23,5;0,36;2,29;65;0,45
Guaiba;02/01/2019;15:00;27,25;0,37;2,22;67,98;0,45
