"Time","Unidade de Saúde Costa e Silva","UFCSPA","HCPA - Santa Cecília","UBS Humaitá","UBS Restinga"
2019-10-20 08:00:00,10.95,4.49,4.67,4.49,5.22
2019-10-20 09:00:00,12.74,5.1,5.36,5.23,5.81
2019-10-20 10:00:00,12.5,5.15,5.4,5.18,5.8
2019-10-20 11:00:00,6.92,3.96,4.17,3.73,4.33
2019-10-20 12:00:00,4.32,3.41,3.85,3.64,4.03
2019-10-20 13:00:00,4.66,3.27,3.7,3.35,3.89
2019-10-20 14:00:00,4.29,22.45,26.64,17.67,22.59
2019-10-20 15:00:00,5.37,4.58,5.34,4.74,5.42
2019-10-20 16:00:00,8.61,4.51,5.5,4.6,5.21
2019-10-20 17:00:00,10.52,5,5.51,5.14,5.76
2019-10-20 18:00:00,12.3,4.97,5.77,5.12,5.68
2019-10-20 19:00:00,7.62,9.38,12.08,10.04,11.19
2019-10-20 20:00:00,5.99,6.16,7.07,6.84,7.04
2019-10-20 21:00:00,4.23,5.64,6.25,5.87,6.57
2019-10-20 22:00:00,3.89,6.12,6.8,6.13,6.87
2019-10-20 23:00:00,3.61,4.73,5.5,5.19,5.46
2019-10-21 00:00:00,4.82,3.95,4.53,3.9,4.78
2019-10-21 01:00:00,4.89,3.6,4.38,3.57,4.5
2019-10-21 02:00:00,4.49,3.42,3.99,3.48,4.04
2019-10-21 03:00:00,3.94,3.2,3.74,3.34,3.98
2019-10-21 04:00:00,6.35,3.39,4.04,3.45,4.24
2019-10-21 05:00:00,8.1,4.28,4.57,4.21,4.99
2019-10-21 06:00:00,3.44,5.36,5.72,5.58,6.2
2019-10-21 07:00:00,5.11,6.37,6.39,6.29,7.32
2019-10-21 08:00:00,9.35,7.08,7.86,7.31,8.36
2019-10-21 09:00:00,6.07,7.15,7.41,7.22,7.86
2019-10-21 10:00:00,10.21,6.77,6.66,6.61,7.22
2019-10-21 11:00:00,6.55,6.88,7.39,7.18,7.79
2019-10-21 12:00:00,7.77,8.15,9.23,8.45,9.42
2019-10-21 13:00:00,8.64,10.15,11.67,10.39,11.58
2019-10-21 14:00:00,12.78,19.51,22.79,19.47,21.34
2019-10-21 15:00:00,17.69,19.6,22.07,19.59,22.22
2019-10-21 16:00:00,61.84,17.36,19.64,17.65,19.48
2019-10-21 17:00:00,19.08,19.1,22.23,19.36,22.02
2019-10-21 18:00:00,21.12,20.97,23.74,21.34,23.61
2019-10-21 19:00:00,10.36,20.96,21.96,20.53,22.39
2019-10-21 20:00:00,1.25,27.95,30.66,26.84,27.93
2019-10-21 21:00:00,0.3,50.58,56.3,49.38,56.1
2019-10-21 22:00:00,0.11,157.2,178.31,150.48,165.19
2019-10-21 23:00:00,1.17,73.02,83.91,69.1,106.36
2019-10-22 00:00:00,1.13,2.77,2.52,2.68,3.31
2019-10-22 01:00:00,1.28,1.61,1.77,1.45,1.78
2019-10-22 02:00:00,1.99,1.33,1.55,1.2,1.66
2019-10-22 03:00:00,4.16,1.47,1.78,1.29,1.73
2019-10-22 04:00:00,6.23,1.83,2.24,1.87,2.29
2019-10-22 05:00:00,6.7,2.28,2.56,2.11,2.77
2019-10-22 06:00:00,6.29,4.45,5.89,4.33,5.13
2019-10-22 07:00:00,6.77,9.83,13.33,8.97,11.42
2019-10-22 08:00:00,3.97,11.77,12.81,11.54,13.46
2019-10-22 09:00:00,5.72,11.34,12.61,11.65,12.64
2019-10-22 10:00:00,6.98,7.32,7.43,7.32,8.38
2019-10-22 11:00:00,3.96,11.87,9.57,9.17,10.47
2019-10-22 12:00:00,2.91,9.08,8.22,8,9.66
2019-10-22 13:00:00,11.38,15.84,15.96,13.5,15.22
2019-10-22 14:00:00,15.39,6.41,6.37,6.15,6.88
2019-10-22 15:00:00,45.62,59.53,80.7,61.67,77.55
2019-10-22 16:00:00,28.57,79.87,92.3,76.69,94.92
2019-10-22 17:00:00,15.69,17.34,19.72,16.63,18.99
2019-10-22 18:00:00,22.07,13.79,16.55,14.33,14.81
2019-10-22 19:00:00,17.14,76.16,91,74.31,85.94
2019-10-22 20:00:00,9.18,77.27,87.8,74.49,84.4
2019-10-22 21:00:00,7.45,37.26,40.9,36.89,40.68
2019-10-22 22:00:00,5.61,86.97,94.52,81.85,98.76
2019-10-22 23:00:00,7.19,9.59,10.42,9.67,10.76
2019-10-23 00:00:00,5.94,8.28,9.08,8.47,9.59
2019-10-23 01:00:00,6.81,7.05,7.75,7.03,8.04
2019-10-23 02:00:00,28.22,6.47,7.1,6.2,7.35
2019-10-23 03:00:00,24.32,8.98,10.56,9.06,10.59
2019-10-23 04:00:00,37.62,11.69,12.96,11.83,13.6
2019-10-23 05:00:00,48.33,12.87,12.7,12.88,14.26
2019-10-23 06:00:00,40.64,13.8,13.94,13.95,15.66
2019-10-23 07:00:00,11.8,11.86,11.63,11.79,13.06
2019-10-23 08:00:00,4.47,30.91,39.28,30.67,40.68
2019-10-23 09:00:00,4.32,9.96,9.75,9.64,11.1
2019-10-23 10:00:00,9.33,12.73,12.35,12.44,13.64
2019-10-23 11:00:00,7.28,12.39,12.04,11.85,13.48
2019-10-23 12:00:00,5.4,10.4,10.44,10.13,11.44
2019-10-23 13:00:00,6.07,8.73,8.67,8.23,9.46
