CIDADES;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
ALEGRETE;0;0;0;1;0;0;0;0;0;0;0;0
ALVORADA;0;0;0;0;0;0;1;0;0;0;1;0
BENTO GONCALVES;0;0;0;0;0;0;1;1;0;0;1;0
BOM JESUS;0;0;0;0;0;0;1;0;0;0;0;1
BOM RETIRO DO SUL;0;0;0;0;0;0;0;0;1;0;0;0
CACAPAVA DO SUL;0;0;0;1;0;0;0;0;0;0;0;0
CACHOEIRA DO SUL;0;0;0;0;0;0;0;1;0;0;0;0
CACHOEIRINHA;0;0;0;0;0;0;0;0;1;0;0;0
CAMAQUA;0;0;0;0;0;0;0;1;0;0;0;0
CAMPINA DAS MISSOES;0;0;0;0;0;0;1;0;0;0;0;0
CANGUCU;1;0;0;0;0;0;1;0;0;0;0;0
CANOAS;0;0;0;0;0;0;1;0;0;0;1;0
CAPAO DA CANOA;0;0;0;0;0;0;0;0;0;0;1;0
CARLOS BARBOSA;0;0;1;0;0;0;0;0;0;0;0;0
CAXIAS DO SUL;0;0;1;0;0;0;1;0;1;0;1;0
CIDREIRA;0;0;0;0;1;0;0;0;0;0;0;0
DOM PEDRITO;0;0;0;0;1;0;0;0;0;0;0;0
ENCRUZILHADA DO SUL;0;0;0;0;0;0;0;0;0;0;0;1
ERECHIM;0;0;1;0;0;0;0;0;0;0;0;0
ESTANCIA VELHA;0;0;0;0;0;1;0;0;0;0;0;0
ESTEIO;0;0;0;0;0;1;0;0;0;0;0;0
GARIBALDI;1;0;0;0;0;0;0;0;0;0;0;0
GRAVATAI;0;0;0;0;1;0;1;0;0;0;0;0
HERVAL;0;0;1;0;0;0;0;0;0;0;0;0
IJUÍ;0;0;0;0;0;0;0;0;0;0;0;1
ILOPOLIS;0;0;0;0;0;1;0;0;0;0;0;0
IMBE;0;0;1;0;0;0;0;0;0;0;0;0
LAJEADO;0;0;0;1;0;0;1;0;0;0;0;0
LAVRAS DO SUL;0;1;0;0;0;0;0;0;0;0;0;0
LIBERATO SALZANO;1;0;0;0;0;0;0;0;0;0;0;0
MATA;0;0;0;0;0;0;1;0;0;0;0;0
MONTENEGRO;0;0;0;0;0;0;0;0;0;0;1;0
MORRO REDONDO;0;0;0;0;1;0;0;0;0;0;0;0
PAROBE;0;0;0;0;0;0;0;0;0;0;0;1
PASSO FUNDO;0;0;0;0;1;1;0;0;0;0;0;1
PELOTAS;0;0;0;0;0;1;0;0;1;1;0;0
PLANALTO;0;0;0;0;0;0;0;1;0;0;0;0
PORTO ALEGRE;0;0;2;2;0;1;0;1;0;0;0;0
RIO GRANDE;0;0;0;0;0;0;0;0;1;1;0;0
RODEIO BONITO;0;0;0;0;0;0;0;0;0;0;0;1
ROLANTE;0;0;0;0;0;0;0;1;0;0;0;0
RONDA ALTA;0;0;0;0;1;0;0;0;0;0;0;0
ROSARIO DO SUL;0;0;0;0;0;0;0;1;0;0;0;0
SANANDUVA;0;0;0;1;0;0;0;0;0;0;0;0
SANTA MARIA;0;0;2;0;1;0;0;0;0;0;1;0
SANTO ANGELO;0;0;0;0;0;1;0;0;0;0;0;0
SAPUCAIA;0;0;0;0;0;0;0;0;0;0;0;1
SAO BORJA;0;0;0;0;0;1;0;0;0;0;0;0
SAO JERONIMO;0;0;0;0;0;1;0;0;0;0;0;0
SAO VICENTE DO SUL;0;0;0;0;0;0;0;0;0;1;0;0
SEBERI;0;0;0;0;1;0;0;0;0;0;0;0
SERTAO;0;0;0;0;0;0;0;0;1;0;0;0
SOLEDADE;0;0;0;0;0;0;1;0;0;0;0;0
TAQUARA;0;0;0;0;0;0;0;1;0;0;0;0
TIRADENTES DO SUL;0;0;0;0;1;0;0;0;0;0;0;0
TORRES;0;0;0;0;0;0;0;0;0;0;1;0
TRAMANDAI;0;0;0;0;0;0;1;0;0;0;0;0
URUGUAIANA;0;0;1;0;0;0;1;0;1;0;0;0
VACARIA;0;0;0;0;0;0;0;0;0;0;1;0
VALE DO SOL;0;0;1;0;0;0;0;0;0;0;0;0
VENANCIO AIRES;0;0;0;0;2;0;0;0;0;0;0;0
VIAMAO;0;0;0;0;0;0;1;0;0;0;1;0
ALPESTRE;0;0;0;0;0;0;0;0;0;0;1;0
CAPAO DO LEAO;0;0;0;0;0;0;0;0;0;1;0;0
GRAMADO XAVIER;0;0;0;0;0;0;0;0;0;1;0;0
JULIO DE CASTILHOS;0;0;0;0;0;0;0;0;0;1;0;0
SAO FRANCISCO DE ASSIS;0;0;0;0;0;0;0;0;0;1;0;0
SARANDI;0;0;0;0;0;0;0;0;0;1;0;0
VITORIA DAS MISSOES;0;0;0;0;0;0;0;0;0;1;0;0
